"title","cbsa_code","total_fatalities"
"Atlanta-Sandy Springs-Roswell, GA","12060",3728
"Bakersfield-Delano, CA","12540",924
"Chicago-Naperville-Elgin, IL-IN","16980",3328
"Columbus, OH","18140",1011
"Dallas-Fort Worth-Arlington, TX","19100",3912
"Detroit-Warren-Dearborn, MI","19820",1782
"Fresno, CA","23420",1003
"Houston-Pasadena-The Woodlands, TX","26420",3663
"Indianapolis-Carmel-Greenwood, IN","26900",1119
"Jacksonville, FL","27260",1203
"Las Vegas-Henderson-North Las Vegas, NV","29820",1108
"Los Angeles-Long Beach-Anaheim, CA","31080",4967
"McAllen-Edinburg-Mission, TX","32580",303
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",3734
"Milwaukee-Waukesha, WI","33340",612
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",999
"New York-Newark-Jersey City, NY-NJ","35620",4256
"Orlando-Kissimmee-Sanford, FL","36740",1814
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2546
"Phoenix-Mesa-Chandler, AZ","38060",3039
"Riverside-San Bernardino-Ontario, CA","40140",3434
"Salt Lake City-Murray, UT","41620",431
"San Antonio-New Braunfels, TX","41700",1412
"San Diego-Chula Vista-Carlsbad, CA","41740",1360
"San Francisco-Oakland-Fremont, CA","41860",1279
"San Jose-Sunnyvale-Santa Clara, CA","41940",666
"Seattle-Tacoma-Bellevue, WA","42660",1204
"St. Louis, MO-IL","41180",1791
"Tampa-St. Petersburg-Clearwater, FL","45300",2399
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2009
