"","cbsa_code","cbsa_name","fatality_count","pop_under18","rate"
"1",31080,"Los Angeles-Long Beach-Anaheim, CA",198,13351970,1.48292723845245
"2",35620,"New York-Newark-Jersey City, NY-NJ",181,7462548,2.42544503566342
"3",26420,"Houston-Pasadena-The Woodlands, TX",185,7206979,2.56695627946189
"4",16980,"Chicago-Naperville-Elgin, IL-IN",191,6416661,2.97662600533206
"5",19100,"Dallas-Fort Worth-Arlington, TX",255,5855427,4.35493431990528
"6",38060,"Phoenix-Mesa-Chandler, AZ",179,5510705,3.24822323096591
"7",40140,"Riverside-San Bernardino-Ontario, CA",190,5316815,3.5735680101715
"8",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",155,4660135,3.32608390100287
"9",41740,"San Diego-Chula Vista-Carlsbad, CA",35,3543729,0.987660173788684
"10",12060,"Atlanta-Sandy Springs-Roswell, GA",174,3100533,5.61193833447346
"11",19820,"Detroit-Warren-Dearborn, MI",87,3075403,2.82889754611022
"12",41700,"San Antonio-New Braunfels, TX",45,2618791,1.71835018525724
"13",29820,"Las Vegas-Henderson-North Las Vegas, NV",52,2588160,2.00914935707221
"14",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",120,2243578,5.34859942466899
"15",42660,"Seattle-Tacoma-Bellevue, WA",43,2127597,2.02105943935811
"16",41860,"San Francisco-Oakland-Fremont, CA",72,1964901,3.66430675133251
"17",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",88,1841986,4.77745216304576
"18",45300,"Tampa-St. Petersburg-Clearwater, FL",92,1828306,5.03198042340833
"19",41940,"San Jose-Sunnyvale-Santa Clara, CA",26,1681969,1.54580732462965
"20",18140,"Columbus, OH",47,1640007,2.8658414262866
"21",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",46,1579530,2.91225870986939
"22",41620,"Salt Lake City-Murray, UT",32,1561467,2.04935486949132
"23",36740,"Orlando-Kissimmee-Sanford, FL",89,1524466,5.83810986929194
"24",41180,"St. Louis, MO-IL",97,1485474,6.52990223995842
"25",23420,"Fresno, CA",58,1411153,4.11011421157025
"26",32580,"McAllen-Edinburg-Mission, TX",28,1396820,2.00455319941009
"27",26900,"Indianapolis-Carmel-Greenwood, IN",45,1354980,3.32108222999601
"28",27260,"Jacksonville, FL",59,1320517,4.46794702377932
"29",12540,"Bakersfield-Delano, CA",52,1300680,3.99790878617339
"30",33340,"Milwaukee-Waukesha, WI",27,1234716,2.18673767894803
"31",17410,"Cleveland, OH",56,1196138,4.68173404740925
"32",39580,"Raleigh-Cary, NC",46,1186630,3.87652427462646
"33",12420,"Austin-Round Rock-San Marcos, TX",68,1173753,5.79338242372969
"34",21340,"El Paso, TX",19,1137974,1.66963392836743
"35",16740,"Charlotte-Concord-Gastonia, NC-SC",85,1119022,7.59591857890193
"36",19740,"Denver-Aurora-Centennial, CO",72,1105469,6.51307273202595
"37",46060,"Tucson, AZ",26,1069139,2.43186339662102
"38",39340,"Provo-Orem-Lehi, UT",26,1063104,2.44566853289989
"39",28140,"Kansas City, MO-KS",67,1061064,6.31441647252192
"40",40900,"Sacramento-Roseville-Folsom, CA",54,1040068,5.1919682174627
"41",44700,"Stockton-Lodi, CA",41,1028987,3.9845012619207
"42",32820,"Memphis, TN-MS-AR",70,972104,7.20087562647618
"43",17140,"Cincinnati, OH-KY-IN",59,927697,6.35983516169611
"44",12580,"Baltimore-Columbia-Towson, MD",50,883371,5.66013600174785
"45",31140,"Louisville/Jefferson County, KY-IN",32,878038,3.64448919067284
"46",17820,"Colorado Springs, CO",25,855438,2.9224794783491
"47",46520,"Urban Honolulu, HI",8,831827,0.961738438401254
"48",29460,"Lakeland-Winter Haven, FL",36,807364,4.45895531631334
"49",15380,"Buffalo-Cheektowaga, NY",19,792870,2.39635753654445
"50",38300,"Pittsburgh, PA",35,777184,4.50343805327953
